"year","ndwi_min","ndwi_q97.5_min","ndwi_q2.5_min","spline_min","q2.5_min","q97.5_min","resids_min","resid2.5_min","resid97.5_min","ndwi_mean","ndwi_q97.5_mean","ndwi_q2.5_mean","spline_mean","q2.5_mean","q97.5_mean","resids_mean","resid2.5_mean","resid97.5_mean","ndwi_median","ndwi_q97.5_median","ndwi_q2.5_median","spline_median","q2.5_median","q97.5_median","resids_median","resid2.5_median","resid97.5_median","ndwi_max","ndwi_q97.5_max","ndwi_q2.5_max","spline_max","q2.5_max","q97.5_max","resids_max","resid2.5_max","resid97.5_max","r_obs_mean","r_obs_median","r_obs_q2.5","r_obs_q97.5","rx_obs_mean","rx_obs_median","rx_obs_q2.5","rx_obs_q97.5","r_median","r_q2.5","r_q97.5","r_mean","rx_median","rx_q2.5","rx_q97.5","rx_mean","nobsgs","defo_med","defo_q2.5","defo_q97.5","fbmi_med","fbmi_q2.5","fbmi_q97.5","plot","site"
1984,0.0361558199206905,0.0417419522137827,0.0287588235418497,0.0663782057405692,0.0498507509260747,0.0816168288561699,-0.0365100498205484,-0.0439070461993892,-0.0309239175274562,0.0416921989524135,0.0472783312455057,0.0342952025735727,0.069522037740904,0.0533208623421124,0.0844058195527699,-0.0278298387884906,-0.0352268351673313,-0.0222437064953984,0.0416921989524135,0.0472783312455057,0.0342952025735727,0.069522037740904,0.0533208623421124,0.0844058195527699,-0.0278298387884906,-0.0352268351673313,-0.0222437064953984,0.0472285779841364,0.0528147102772287,0.0398315816052957,0.0726658697412389,0.0567909737581501,0.0871948102493699,-0.0191496277564327,-0.0265466241352735,-0.0135634954633405,0.0416921989524135,0.0416921989524135,0.0287588235418497,0.0528147102772287,0.0416921989524135,0.0416921989524135,0.0287588235418497,0.0528147102772287,-0.0278298387884906,-0.0365100498205484,-0.0191496277564327,-0.0278298387884906,-0.0278298387884906,-0.0365100498205484,-0.0191496277564327,-0.0278298387884906,2,0.207609509794195,0.269552388326878,0.143955721523397,0.792390490205805,0.730447611673122,0.856044278476603,"OSBS_025","OSBS_NEON"
1985,0.0186066237105124,0.0241927560036046,0.0112096273316716,0.0596739984571403,0.0416463133557255,0.0763716196238909,-0.0751929749177485,-0.0825899712965892,-0.0696068426246562,0.0260610728916462,0.0316472051847385,0.0186640765128055,0.0767367985427006,0.060317383754397,0.0916270941270373,-0.0506757256510543,-0.0580727220298951,-0.0450895933579621,0.0260610728916462,0.0316472051847385,0.0186640765128055,0.0767367985427006,0.060317383754397,0.0916270941270373,-0.0506757256510543,-0.0580727220298951,-0.0450895933579621,0.0335155220727801,0.0391016543658723,0.0261185256939394,0.0937995986282609,0.0789884541530685,0.106882568630184,-0.0261584763843602,-0.0335554727632009,-0.0205723440912679,0.0260610728916462,0.0260610728916462,0.0112096273316716,0.0391016543658723,0.0260610728916462,0.0260610728916462,0.0112096273316716,0.0391016543658723,-0.0506757256510543,-0.0751929749177485,-0.0261584763843602,-0.0506757256510543,-0.0506757256510543,-0.0751929749177485,-0.0261584763843602,-0.0506757256510543,2,0.365842976092382,0.514779464813245,0.195471392653538,0.634157023907618,0.485220535186755,0.804528607346462,"OSBS_025","OSBS_NEON"
1986,-0.0446940178776071,-0.0391078855845149,-0.0520910142564479,0.0601964019756107,0.0424347619669921,0.076651367597707,-0.122225594765532,-0.129622591144373,-0.11663946247244,0.00282038561010476,0.00840651790319699,-0.00457661076873599,0.0775375111012363,0.0614297309156124,0.0921338007591933,-0.0747171254911315,-0.0821141218699723,-0.0691309931980393,0.0158147748042838,0.021400907097376,0.00841777842544301,0.0775315768879246,0.0620733001542024,0.0915898348681978,-0.0575441545365358,-0.0649411509153766,-0.0519580222434436,0.0373403999036377,0.0429265321967299,0.0299434035247969,0.0948845544401735,0.0797811306256428,0.108160199811675,-0.0443816271713269,-0.0517786235501677,-0.0387954948782347,0.00282038561010476,0.0158147748042838,-0.0520910142564479,0.0429265321967299,0.00282038561010476,0.0158147748042838,-0.0520910142564479,0.0429265321967299,-0.0575441545365358,-0.122225594765532,-0.0443816271713269,-0.0747171254911315,-0.0575441545365358,-0.122225594765532,-0.0443816271713269,-0.0747171254911315,3,0.409998358331664,0.728370540854749,0.323873874137229,0.590001641668336,0.271629459145251,0.676126125862771,"OSBS_025","OSBS_NEON"
1988,0.0479575204475206,0.0535436527406128,0.0405605240686798,0.0628323888877423,0.0457495186849877,0.0786356192710966,-0.0148748684402217,-0.0222718648190625,-0.0092887361471295,0.0479575204475206,0.0535436527406128,0.0405605240686798,0.0628323888877423,0.0457495186849877,0.0786356192710966,-0.0148748684402217,-0.0222718648190625,-0.0092887361471295,0.0479575204475206,0.0535436527406128,0.0405605240686798,0.0628323888877423,0.0457495186849877,0.0786356192710966,-0.0148748684402217,-0.0222718648190625,-0.0092887361471295,0.0479575204475206,0.0535436527406128,0.0405605240686798,0.0628323888877423,0.0457495186849877,0.0786356192710966,-0.0148748684402217,-0.0222718648190625,-0.0092887361471295,0.0479575204475206,0.0479575204475206,0.0405605240686798,0.0535436527406128,0.0479575204475206,0.0479575204475206,0.0405605240686798,0.0535436527406128,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,-0.0148748684402217,1,0.112129244426535,0.112129244426535,0.112129244426535,0.887870755573465,0.887870755573465,0.887870755573465,"OSBS_025","OSBS_NEON"
1989,0.00860917196407637,0.0141953042571686,0.00121217558523561,0.0848928118804505,0.0700513877987822,0.0982540259171309,-0.0827256507516511,-0.0901226471304919,-0.0771395184585589,0.0150729212556121,0.0206590535487043,0.00767592487677135,0.088113817298089,0.0734110801988241,0.101275284156815,-0.0730408960424769,-0.0804378924213176,-0.0674547637493847,0.0150729212556121,0.0206590535487043,0.00767592487677135,0.088113817298089,0.0734110801988241,0.101275284156815,-0.0730408960424769,-0.0804378924213176,-0.0674547637493847,0.0215366705471478,0.0271228028402401,0.0141396741683071,0.0913348227157275,0.076770772598866,0.104296542396499,-0.0633561413333026,-0.0707531377121434,-0.0577700090402104,0.0150729212556121,0.0150729212556121,0.00121217558523561,0.0271228028402401,0.0150729212556121,0.0150729212556121,0.00121217558523561,0.0271228028402401,-0.0730408960424769,-0.0827256507516511,-0.0633561413333026,-0.0730408960424769,-0.0730408960424769,-0.0827256507516511,-0.0633561413333026,-0.0730408960424769,2,0.502705179756221,0.555453013141686,0.445928005223457,0.497294820243779,0.444546986858314,0.554071994776543,"OSBS_025","OSBS_NEON"
1990,0.00689885635066764,0.0124849886437599,-0.000498140028173116,0.0873063558567802,0.0726374115613661,0.100463663959439,-0.0860140007198393,-0.0934109970986801,-0.0804278684267471,0.0241262980220883,0.0297124303151805,0.0167293016432475,0.0922631092447246,0.0769719165844122,0.105749966347841,-0.0681368112226363,-0.0755338076014771,-0.0625506789295441,0.0176030865686038,0.023189218861696,0.0102060901897631,0.0929128570705069,0.0782391268524425,0.10591508415321,-0.0697032692881764,-0.0771002656670172,-0.0641171369950842,0.0478769511469933,0.0534630834400856,0.0404799547681526,0.0965701148068866,0.0800392113394279,0.110871150930875,-0.0486931636598933,-0.056090160038734,-0.043107031366801,0.0241262980220883,0.0176030865686038,-0.000498140028173116,0.0534630834400856,0.0241262980220883,0.0176030865686038,-0.000498140028173116,0.0534630834400856,-0.0697032692881764,-0.0860140007198393,-0.0486931636598933,-0.0681368112226363,-0.0697032692881764,-0.0860140007198393,-0.0486931636598933,-0.0681368112226363,3,0.483585562274558,0.572427484185636,0.352772887086568,0.516414437725442,0.427572515814364,0.647227112913432,"OSBS_025","OSBS_NEON"
1991,0.0285708152371321,0.0341569475302243,0.0211738188582913,0.0689370428038446,0.0527058362821339,0.0838599093414293,-0.0656228270993719,-0.0730198234782126,-0.0600366948062796,0.0448862851130227,0.0504724174061149,0.0374892887341819,0.0871654746942775,0.0718046785659499,0.100867101739162,-0.0422791895812548,-0.0496761859600956,-0.0366930572881626,0.0442542360003039,0.0498403682933962,0.0368572396214632,0.0918277875982267,0.0770948749877669,0.104905668444367,-0.0485113708180768,-0.0559083671969176,-0.0429252385249846,0.0624658532143508,0.068051985507443,0.05506885683551,0.0960692807768121,0.0803231280061318,0.109797160726484,-0.00647118958949382,-0.0138681859683346,-0.000885057296401592,0.0448862851130227,0.0442542360003039,0.0211738188582913,0.068051985507443,0.0448862851130227,0.0442542360003039,0.0211738188582913,0.068051985507443,-0.0485113708180768,-0.0656228270993719,-0.00647118958949382,-0.0422791895812548,-0.0485113708180768,-0.0656228270993719,-0.00647118958949382,-0.0422791895812548,4,0.351567393603369,0.459569041805768,0.048947757867935,0.648432606396631,0.540430958194232,0.951052242132065,"OSBS_025","OSBS_NEON"
1992,0.0587341580812044,0.0643202903742966,0.0513371617023636,0.0604937009660045,0.0428367040487704,0.0768508080409421,-0.0277947402418497,-0.0351917366206905,-0.0222086079487575,0.080564846710352,0.0861509790034443,0.0731678503315113,0.0703822550803868,0.0539722830774815,0.085432197241174,0.0101825916299652,0.00278559525112447,0.0157687239230575,0.0597990209082491,0.0653851532013413,0.0524020245294084,0.0641241659521019,0.0472711416049023,0.0796975996768557,-0.000694680057755373,-0.00809167643659613,0.00489145223533685,0.123161361141603,0.128747493434695,0.115764364762762,0.0865288983230541,0.0718090035787718,0.0997481840057243,0.0590371951895008,0.05164019881066,0.064623327482593,0.080564846710352,0.0597990209082491,0.0513371617023636,0.128747493434695,0.080564846710352,0.0597990209082491,0.0513371617023636,0.128747493434695,-0.000694680057755373,-0.0277947402418497,0.0590371951895008,0.0101825916299652,-0.000694680057755373,-0.0277947402418497,0.0590371951895008,0.0101825916299652,3,0.00525867956240278,0.207355251728447,-0.419357005847964,0.994741320437597,0.792644748271553,1.41935700584796,"OSBS_025","OSBS_NEON"
1993,0.0536040631236698,0.059190195416762,0.046207066744829,0.061264787918463,0.0438316380178776,0.0774092310393637,-0.0076607247947932,-0.015057721173634,-0.00207459250170097,0.0847320687475172,0.0903182010406094,0.0773350723686765,0.0759525413280322,0.059529049737996,0.0908250021900911,0.00877952741948507,0.00138253104064431,0.0143656597125773,0.0904196219509423,0.0960057542440345,0.0830226255721015,0.0729980828600478,0.0570742959953289,0.0875639324248049,0.0118932457572778,0.00449624937843709,0.0174793780503701,0.104484967964515,0.110071100257607,0.0970879715856738,0.0965492116735701,0.0801359689434487,0.110762912871391,0.0189923429581778,0.011595346579337,0.02457847525127,0.0847320687475172,0.0904196219509423,0.046207066744829,0.110071100257607,0.0847320687475172,0.0904196219509423,0.046207066744829,0.110071100257607,0.0118932457572778,-0.0076607247947932,0.0189923429581778,0.00877952741948507,0.0118932457572778,-0.0076607247947932,0.0189923429581778,0.00877952741948507,4,-0.0897893982768485,0.0579267646578514,-0.142789550322424,1.08978939827685,0.942073235342149,1.14278955032242,"OSBS_025","OSBS_NEON"
1994,0.0474341192787795,0.0530202515718717,0.0400371228999387,0.0628323888877423,0.0457495186849877,0.0786356192710966,-0.0491106715264185,-0.0565076679052593,-0.0435245392333263,0.0701624030369895,0.0757485353300817,0.0627654066581487,0.0830383287821058,0.0667267881682382,0.0975980890633875,-0.0128759257451163,-0.020272922123957,-0.00728979345202405,0.0743672531149593,0.0799533854080515,0.0669702567361185,0.0863880677177414,0.0704118490778834,0.10037749496092,-0.00991036955206904,-0.0173073659309098,-0.00432423725897681,0.08448098663926,0.0900671189323522,0.0770839902604193,0.096544790805198,0.0803339358321982,0.111001747060613,0.0174277076500915,0.0100307112712508,0.0230138399431837,0.0701624030369895,0.0743672531149593,0.0400371228999387,0.0900671189323522,0.0701624030369895,0.0743672531149593,0.0400371228999387,0.0900671189323522,-0.00991036955206904,-0.0491106715264185,0.0174277076500915,-0.0128759257451163,-0.00991036955206904,-0.0491106715264185,0.0174277076500915,-0.0128759257451163,4,0.0748810676907894,0.355537006128412,-0.131167640561029,0.925118932309211,0.644462993871588,1.13116764056103,"OSBS_025","OSBS_NEON"
1995,0.0143651763117575,0.0199513086048498,0.00696817993291677,0.0598618429128965,0.0416463042128369,0.0767151660611433,-0.0454966666011389,-0.0528936629799797,-0.0399105343080467,0.0807376192035074,0.0863237514965996,0.0733406228246666,0.0797439933905877,0.0637039784714573,0.0942113755367693,0.0009936258129197,-0.00640337056592105,0.00657975810601193,0.070661653030282,0.0762477853233742,0.0632646566514413,0.0794592835550169,0.064164124393392,0.0933333262580271,-0.00250409222314169,-0.00990108860198244,0.00308204006995054,0.157261974015901,0.162848106308993,0.14986497763706,0.0965045655928864,0.0802164016807937,0.110626072831318,0.0607574084230143,0.0533604120441736,0.0663435407161066,0.0807376192035074,0.070661653030282,0.00696817993291677,0.162848106308993,0.0807376192035074,0.070661653030282,0.00696817993291677,0.162848106308993,-0.00250409222314169,-0.0454966666011389,0.0607574084230143,0.0009936258129197,-0.00250409222314169,-0.0454966666011389,0.0607574084230143,0.0009936258129197,7,0.0189537079772445,0.331408548830683,-0.430030077160675,0.981046292022756,0.668591451169317,1.43003007716067,"OSBS_025","OSBS_NEON"
