"year","ndwi_min","ndwi_q97.5_min","ndwi_q2.5_min","spline_min","q2.5_min","q97.5_min","resids_min","resid2.5_min","resid97.5_min","ndwi_mean","ndwi_q97.5_mean","ndwi_q2.5_mean","spline_mean","q2.5_mean","q97.5_mean","resids_mean","resid2.5_mean","resid97.5_mean","ndwi_median","ndwi_q97.5_median","ndwi_q2.5_median","spline_median","q2.5_median","q97.5_median","resids_median","resid2.5_median","resid97.5_median","ndwi_max","ndwi_q97.5_max","ndwi_q2.5_max","spline_max","q2.5_max","q97.5_max","resids_max","resid2.5_max","resid97.5_max","r_obs_mean","r_obs_median","r_obs_q2.5","r_obs_q97.5","rx_obs_mean","rx_obs_median","rx_obs_q2.5","rx_obs_q97.5","r_median","r_q2.5","r_q97.5","r_mean","rx_median","rx_q2.5","rx_q97.5","rx_mean","nobsgs","defo_med","defo_q2.5","defo_q97.5","fbmi_med","fbmi_q2.5","fbmi_q97.5","plot","site"
1984,0.478244905452543,0.498262609374777,0.458055932672921,0.488696098811287,0.481589005023898,0.492755447297201,-0.0104511933587447,-0.0306401661383663,0.00956651056348989,0.478244905452543,0.498262609374777,0.458055932672921,0.488696098811287,0.481589005023898,0.492755447297201,-0.0104511933587447,-0.0306401661383663,0.00956651056348989,0.478244905452543,0.498262609374777,0.458055932672921,0.488696098811287,0.481589005023898,0.492755447297201,-0.0104511933587447,-0.0306401661383663,0.00956651056348989,0.478244905452543,0.498262609374777,0.458055932672921,0.488696098811287,0.481589005023898,0.492755447297201,-0.0104511933587447,-0.0306401661383663,0.00956651056348989,0.478244905452543,0.478244905452543,0.458055932672921,0.498262609374777,0.478244905452543,0.478244905452543,0.458055932672921,0.498262609374777,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,-0.0104511933587447,1,0.0789508775299698,0.0789508775299698,0.0789508775299698,0.92104912247003,0.92104912247003,0.92104912247003,"SCBI_045","SCBI_NEON"
1985,0.445059625212947,0.465077329135182,0.424870652433326,0.469413637683964,0.452051050427558,0.480383975346987,-0.0243540124710168,-0.0445429852506384,-0.00433630854878225,0.445059625212947,0.465077329135182,0.424870652433326,0.469413637683964,0.452051050427558,0.480383975346987,-0.0243540124710168,-0.0445429852506384,-0.00433630854878225,0.445059625212947,0.465077329135182,0.424870652433326,0.469413637683964,0.452051050427558,0.480383975346987,-0.0243540124710168,-0.0445429852506384,-0.00433630854878225,0.445059625212947,0.465077329135182,0.424870652433326,0.469413637683964,0.452051050427558,0.480383975346987,-0.0243540124710168,-0.0445429852506384,-0.00433630854878225,0.445059625212947,0.445059625212947,0.424870652433326,0.465077329135182,0.445059625212947,0.445059625212947,0.424870652433326,0.465077329135182,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,-0.0243540124710168,1,0.182299176851219,0.182299176851219,0.182299176851219,0.817700823148781,0.817700823148781,0.817700823148781,"SCBI_045","SCBI_NEON"
1988,0.450448570832464,0.470466274754699,0.430259598052842,0.475107641809671,0.460316265918722,0.484211120863131,-0.0246590709772073,-0.0448480437568289,-0.0046413670549727,0.450448570832464,0.470466274754699,0.430259598052842,0.475107641809671,0.460316265918722,0.484211120863131,-0.0246590709772073,-0.0448480437568289,-0.0046413670549727,0.450448570832464,0.470466274754699,0.430259598052842,0.475107641809671,0.460316265918722,0.484211120863131,-0.0246590709772073,-0.0448480437568289,-0.0046413670549727,0.450448570832464,0.470466274754699,0.430259598052842,0.475107641809671,0.460316265918722,0.484211120863131,-0.0246590709772073,-0.0448480437568289,-0.0046413670549727,0.450448570832464,0.450448570832464,0.430259598052842,0.470466274754699,0.450448570832464,0.450448570832464,0.430259598052842,0.470466274754699,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,-0.0246590709772073,1,0.184530781602987,0.184530781602987,0.184530781602987,0.815469218397013,0.815469218397013,0.815469218397013,"SCBI_045","SCBI_NEON"
1989,0.44383380962849,0.463851513550724,0.423644836848868,0.460648271202137,0.441573896032549,0.473504594220859,-0.0168144615736467,-0.0370034343532684,0.00320324234858782,0.44383380962849,0.463851513550724,0.423644836848868,0.460648271202137,0.441573896032549,0.473504594220859,-0.0168144615736467,-0.0370034343532684,0.00320324234858782,0.44383380962849,0.463851513550724,0.423644836848868,0.460648271202137,0.441573896032549,0.473504594220859,-0.0168144615736467,-0.0370034343532684,0.00320324234858782,0.44383380962849,0.463851513550724,0.423644836848868,0.460648271202137,0.441573896032549,0.473504594220859,-0.0168144615736467,-0.0370034343532684,0.00320324234858782,0.44383380962849,0.44383380962849,0.423644836848868,0.463851513550724,0.44383380962849,0.44383380962849,0.423644836848868,0.463851513550724,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,-0.0168144615736467,1,0.126602490834839,0.126602490834839,0.126602490834839,0.873397509165161,0.873397509165161,0.873397509165161,"SCBI_045","SCBI_NEON"
1990,0.43013468013468,0.450152384056915,0.409945707355059,0.471072362315449,0.454386685867307,0.481527962384541,-0.0409376821807688,-0.0611266549603904,-0.0209199782585343,0.43013468013468,0.450152384056915,0.409945707355059,0.471072362315449,0.454386685867307,0.481527962384541,-0.0409376821807688,-0.0611266549603904,-0.0209199782585343,0.43013468013468,0.450152384056915,0.409945707355059,0.471072362315449,0.454386685867307,0.481527962384541,-0.0409376821807688,-0.0611266549603904,-0.0209199782585343,0.43013468013468,0.450152384056915,0.409945707355059,0.471072362315449,0.454386685867307,0.481527962384541,-0.0409376821807688,-0.0611266549603904,-0.0209199782585343,0.43013468013468,0.43013468013468,0.409945707355059,0.450152384056915,0.43013468013468,0.43013468013468,0.409945707355059,0.450152384056915,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,-0.0409376821807688,1,0.300344532260232,0.300344532260232,0.300344532260232,0.699655467739768,0.699655467739768,0.699655467739768,"SCBI_045","SCBI_NEON"
1991,0.419717138103161,0.439734842025396,0.39952816532354,0.456628635597426,0.437891125915289,0.469765415424771,-0.0488652748904391,-0.0690542476700607,-0.0288475709682046,0.452939789806282,0.472957493728517,0.43275081702666,0.468674784167511,0.452540763939665,0.479171980236015,-0.0157349943612288,-0.0359239671408505,0.00428270956100572,0.464503042596349,0.484520746518583,0.444314069816727,0.468582412993601,0.450913756034134,0.47979692205768,-0.00621411519217008,-0.0264030879717917,0.0138035887300645,0.474599188719336,0.49461689264157,0.454410215939714,0.480813303911506,0.468817409869573,0.487953603225594,0.00787440699892267,-0.0123145657806989,0.0278921109211572,0.452939789806282,0.464503042596349,0.39952816532354,0.49461689264157,0.452939789806282,0.464503042596349,0.39952816532354,0.49461689264157,-0.00621411519217008,-0.0488652748904391,0.00787440699892267,-0.0157349943612288,-0.00621411519217008,-0.0488652748904391,0.00787440699892267,-0.0157349943612288,3,0.0470061847025004,0.353913102403311,-0.0595387587051621,0.9529938152975,0.646086897596689,1.05953875870516,"SCBI_045","SCBI_NEON"
1993,0.453933529659234,0.473951233581469,0.433744556879613,0.489473687427617,0.482139765324327,0.493446671282134,-0.0355401577683825,-0.0557291305480041,-0.0155224538461479,0.453933529659234,0.473951233581469,0.433744556879613,0.489473687427617,0.482139765324327,0.493446671282134,-0.0355401577683825,-0.0557291305480041,-0.0155224538461479,0.453933529659234,0.473951233581469,0.433744556879613,0.489473687427617,0.482139765324327,0.493446671282134,-0.0355401577683825,-0.0557291305480041,-0.0155224538461479,0.453933529659234,0.473951233581469,0.433744556879613,0.489473687427617,0.482139765324327,0.493446671282134,-0.0355401577683825,-0.0557291305480041,-0.0155224538461479,0.453933529659234,0.453933529659234,0.433744556879613,0.473951233581469,0.453933529659234,0.453933529659234,0.433744556879613,0.473951233581469,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,-0.0355401577683825,1,0.262730391476775,0.262730391476775,0.262730391476775,0.737269608523225,0.737269608523225,0.737269608523225,"SCBI_045","SCBI_NEON"
1994,0.448984148247377,0.469001852169611,0.428795175467755,0.462138568991485,0.443097376545249,0.47479890351587,-0.0131544207441087,-0.0333433935237303,0.00686328317812585,0.448984148247377,0.469001852169611,0.428795175467755,0.462138568991485,0.443097376545249,0.47479890351587,-0.0131544207441087,-0.0333433935237303,0.00686328317812585,0.448984148247377,0.469001852169611,0.428795175467755,0.462138568991485,0.443097376545249,0.47479890351587,-0.0131544207441087,-0.0333433935237303,0.00686328317812585,0.448984148247377,0.469001852169611,0.428795175467755,0.462138568991485,0.443097376545249,0.47479890351587,-0.0131544207441087,-0.0333433935237303,0.00686328317812585,0.448984148247377,0.448984148247377,0.428795175467755,0.469001852169611,0.448984148247377,0.448984148247377,0.428795175467755,0.469001852169611,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,-0.0131544207441087,1,0.0992511246279859,0.0992511246279859,0.0992511246279859,0.900748875372014,0.900748875372014,0.900748875372014,"SCBI_045","SCBI_NEON"
1995,0.461311076334551,0.481328780256785,0.441122103554929,0.488170420090117,0.480956348522133,0.492362197499173,-0.0268593437555662,-0.0470483165351878,-0.00684163983333164,0.461311076334551,0.481328780256785,0.441122103554929,0.488170420090117,0.480956348522133,0.492362197499173,-0.0268593437555662,-0.0470483165351878,-0.00684163983333164,0.461311076334551,0.481328780256785,0.441122103554929,0.488170420090117,0.480956348522133,0.492362197499173,-0.0268593437555662,-0.0470483165351878,-0.00684163983333164,0.461311076334551,0.481328780256785,0.441122103554929,0.488170420090117,0.480956348522133,0.492362197499173,-0.0268593437555662,-0.0470483165351878,-0.00684163983333164,0.461311076334551,0.461311076334551,0.441122103554929,0.481328780256785,0.461311076334551,0.461311076334551,0.441122103554929,0.481328780256785,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,-0.0268593437555662,1,0.200568903546576,0.200568903546576,0.200568903546576,0.799431096453424,0.799431096453424,0.799431096453424,"SCBI_045","SCBI_NEON"
1996,0.442098244054234,0.462115947976469,0.421909271274613,0.457887664586132,0.438999070174301,0.470967297991555,-0.0157894205318982,-0.0359783933115198,0.00422828339033637,0.459198106225763,0.479215810147997,0.439009133446141,0.473394530541733,0.460408887926148,0.481940509130743,-0.0141964243159707,-0.0343853970955924,0.00582127960626383,0.459198106225763,0.479215810147997,0.439009133446141,0.473394530541733,0.460408887926148,0.481940509130743,-0.0141964243159707,-0.0343853970955924,0.00582127960626383,0.476297968397291,0.496315672319526,0.45610899561767,0.488901396497334,0.481818705677996,0.492913720269932,-0.0126034281000433,-0.0327924008796649,0.00741427582219129,0.459198106225763,0.459198106225763,0.421909271274613,0.496315672319526,0.459198106225763,0.459198106225763,0.421909271274613,0.496315672319526,-0.0141964243159707,-0.0157894205318982,-0.0126034281000433,-0.0141964243159707,-0.0141964243159707,-0.0157894205318982,-0.0126034281000433,-0.0141964243159707,2,0.107055117474718,0.118959947374705,0.0951195116441353,0.892944882525282,0.881040052625295,0.904880488355865,"SCBI_045","SCBI_NEON"
