"year","ndwi_min","ndwi_q97.5_min","ndwi_q2.5_min","spline_min","q2.5_min","q97.5_min","resids_min","resid2.5_min","resid97.5_min","ndwi_mean","ndwi_q97.5_mean","ndwi_q2.5_mean","spline_mean","q2.5_mean","q97.5_mean","resids_mean","resid2.5_mean","resid97.5_mean","ndwi_median","ndwi_q97.5_median","ndwi_q2.5_median","spline_median","q2.5_median","q97.5_median","resids_median","resid2.5_median","resid97.5_median","ndwi_max","ndwi_q97.5_max","ndwi_q2.5_max","spline_max","q2.5_max","q97.5_max","resids_max","resid2.5_max","resid97.5_max","r_obs_mean","r_obs_median","r_obs_q2.5","r_obs_q97.5","rx_obs_mean","rx_obs_median","rx_obs_q2.5","rx_obs_q97.5","r_median","r_q2.5","r_q97.5","r_mean","rx_median","rx_q2.5","rx_q97.5","rx_mean","nobsgs","defo_med","defo_q2.5","defo_q97.5","fbmi_med","fbmi_q2.5","fbmi_q97.5","plot","site"
1984,0.412706032965274,0.418066007069065,0.408053723979597,0.430312642923891,0.415342139623586,0.439648784713635,-0.0176066099586165,-0.0222589189442937,-0.012246635854826,0.412706032965274,0.418066007069065,0.408053723979597,0.430312642923891,0.415342139623586,0.439648784713635,-0.0176066099586165,-0.0222589189442937,-0.012246635854826,0.412706032965274,0.418066007069065,0.408053723979597,0.430312642923891,0.415342139623586,0.439648784713635,-0.0176066099586165,-0.0222589189442937,-0.012246635854826,0.412706032965274,0.418066007069065,0.408053723979597,0.430312642923891,0.415342139623586,0.439648784713635,-0.0176066099586165,-0.0222589189442937,-0.012246635854826,0.412706032965274,0.412706032965274,0.408053723979597,0.418066007069065,0.412706032965274,0.412706032965274,0.408053723979597,0.418066007069065,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,-0.0176066099586165,1,0.132498393329456,0.132498393329456,0.132498393329456,0.867501606670544,0.867501606670544,0.867501606670544,"STEI_046","STEI_NEON"
1985,0.372985167988669,0.378345142092459,0.368332859002992,0.405508211144021,0.382681995160829,0.421456192765372,-0.0325230431553521,-0.0371753521410293,-0.0271630690515616,0.372985167988669,0.378345142092459,0.368332859002992,0.405508211144021,0.382681995160829,0.421456192765372,-0.0325230431553521,-0.0371753521410293,-0.0271630690515616,0.372985167988669,0.378345142092459,0.368332859002992,0.405508211144021,0.382681995160829,0.421456192765372,-0.0325230431553521,-0.0371753521410293,-0.0271630690515616,0.372985167988669,0.378345142092459,0.368332859002992,0.405508211144021,0.382681995160829,0.421456192765372,-0.0325230431553521,-0.0371753521410293,-0.0271630690515616,0.372985167988669,0.372985167988669,0.368332859002992,0.378345142092459,0.372985167988669,0.372985167988669,0.368332859002992,0.378345142092459,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,-0.0325230431553521,1,0.241342765123336,0.241342765123336,0.241342765123336,0.758657234876664,0.758657234876664,0.758657234876664,"STEI_046","STEI_NEON"
1986,0.36787368161075,0.373233655714541,0.363221372625073,0.404995829744535,0.382469971788077,0.420850582770001,-0.037122148133785,-0.0417744571194621,-0.0317621740299945,0.408349525107819,0.413709499211609,0.403697216122142,0.422018522617952,0.40475541717099,0.433444136215565,-0.013668997510133,-0.0183213064958102,-0.00830902340634249,0.412987960598322,0.418347934702112,0.408335651612645,0.425400882756471,0.408033467959605,0.436422816061333,-0.0124129221581493,-0.0170652311438264,-0.00705294805435874,0.437975180362891,0.443335154466681,0.433322871377213,0.435832852073182,0.424766771819155,0.442811252849353,0.00457090511306124,-0.0000814038726159039,0.00993087921685176,0.408349525107819,0.412987960598322,0.363221372625073,0.443335154466681,0.408349525107819,0.412987960598322,0.363221372625073,0.443335154466681,-0.0124129221581493,-0.037122148133785,0.00457090511306124,-0.013668997510133,-0.0124129221581493,-0.037122148133785,0.00457090511306124,-0.013668997510133,5,0.0936902345846081,0.273843912524527,-0.0345879489736249,0.906309765415392,0.726156087475473,1.03458794897362,"STEI_046","STEI_NEON"
1987,0.40531561461794,0.410675588721731,0.400663305632263,0.40487141903008,0.382979075132823,0.420422170907018,-0.018370024749444,-0.0230223337351211,-0.0130100506456535,0.415558919787283,0.420918893891074,0.410906610801606,0.418746288113617,0.400505088986898,0.430983198576331,-0.00318736832633372,-0.00783967731201087,0.0021726057774568,0.411058114440879,0.41641808854467,0.406405805455202,0.421939306120447,0.40456118865108,0.433439771812561,-0.0166236915025071,-0.0212760004881842,-0.0112637173987166,0.43030303030303,0.435663004406821,0.425650721317353,0.429428139190323,0.413975003176791,0.439087653009415,0.0254316112729499,0.0207793022872728,0.0307915853767404,0.415558919787283,0.411058114440879,0.400663305632263,0.435663004406821,0.415558919787283,0.411058114440879,0.400663305632263,0.435663004406821,-0.0166236915025071,-0.018370024749444,0.0254316112729499,-0.00318736832633372,-0.0166236915025071,-0.018370024749444,0.0254316112729499,-0.00318736832633372,3,0.125181249320199,0.138171580110822,-0.190173619547781,0.874818750679801,0.861828419889178,1.19017361954778,"STEI_046","STEI_NEON"
1988,0.384254078340399,0.38961405244419,0.379601769354722,0.426473659738743,0.409573998748636,0.437149429534537,-0.0520624777448812,-0.0567147867305583,-0.0467025036410906,0.39412242868079,0.399482402784581,0.389470119695113,0.431195692956635,0.417491231148876,0.439901769698668,-0.0370732642758445,-0.0417255732615217,-0.031713290172054,0.395211990127802,0.400571964231592,0.390559681142125,0.430996278001258,0.417503505039929,0.43964305824231,-0.0325967577323449,-0.037249066718022,-0.0272367836285543,0.401811656127158,0.407171630230948,0.397159347141481,0.43631655608528,0.42538391576701,0.443171532775516,-0.0310370638938072,-0.0356893728794844,-0.0256770897900167,0.39412242868079,0.395211990127802,0.379601769354722,0.407171630230948,0.39412242868079,0.395211990127802,0.379601769354722,0.407171630230948,-0.0325967577323449,-0.0520624777448812,-0.0310370638938072,-0.0370732642758445,-0.0325967577323449,-0.0520624777448812,-0.0310370638938072,-0.0370732642758445,4,0.241868211073524,0.37490054566986,0.230720718056686,0.758131788926476,0.62509945433014,0.769279281943314,"STEI_046","STEI_NEON"
1989,0.362051185727716,0.367411159831506,0.357398876742039,0.430193974869292,0.416214800366826,0.4391513382435,-0.0681427891415764,-0.0727950981272535,-0.0627828150377859,0.378111936098436,0.383471910202227,0.373459627112759,0.43356115582051,0.421041242484976,0.441447334076491,-0.0554492197220737,-0.0601015287077509,-0.0500892456182832,0.376881781016516,0.382241755120307,0.372229472030839,0.434058058098289,0.421636368152607,0.441832339114857,-0.0574004931456577,-0.0620528021313348,-0.0520405190418672,0.396632996632997,0.401992970736787,0.391980687647319,0.435934532216168,0.424677433267864,0.442973319832751,-0.0388531034554031,-0.0435054124410802,-0.0334931293516126,0.378111936098436,0.376881781016516,0.357398876742039,0.401992970736787,0.378111936098436,0.376881781016516,0.357398876742039,0.401992970736787,-0.0574004931456577,-0.0681427891415764,-0.0388531034554031,-0.0554492197220737,-0.0574004931456577,-0.0681427891415764,-0.0388531034554031,-0.0554492197220737,4,0.409093248487253,0.474483646502526,0.285920593525014,0.590906751512747,0.525516353497474,0.714079406474986,"STEI_046","STEI_NEON"
1990,0.34167237834133,0.34703235244512,0.337020069355653,0.412782972069754,0.391441415867543,0.427195986521613,-0.0914854513202337,-0.0961377603059108,-0.0861254772164431,0.350599167827404,0.355959141931195,0.345946858841727,0.429278125717828,0.415093032762322,0.438448547824477,-0.0786789578904232,-0.0833312668761004,-0.0733189837866327,0.353349712464712,0.358709686568503,0.348697403479035,0.434022875088498,0.421738636645671,0.441747520059972,-0.0820324781880992,-0.0866847871737763,-0.0766725040843087,0.354024868038863,0.359384842142654,0.349372559053186,0.436283780624561,0.425453441890404,0.443103164656353,-0.0591654238652609,-0.0638177328509381,-0.0538054497614704,0.350599167827404,0.353349712464712,0.337020069355653,0.359384842142654,0.350599167827404,0.353349712464712,0.337020069355653,0.359384842142654,-0.0820324781880992,-0.0914854513202337,-0.0591654238652609,-0.0786789578904232,-0.0820324781880992,-0.0914854513202337,-0.0591654238652609,-0.0786789578904232,4,0.551814068295147,0.599614379685812,0.420156665135974,0.448185931704853,0.400385620314188,0.579843334864026,"STEI_046","STEI_NEON"
1991,0.361405893662403,0.366765867766194,0.356753584676726,0.404882652511038,0.382514321196909,0.42015294446763,-0.0438751241372372,-0.0485274331229144,-0.0385151500334467,0.37702521135229,0.382385185456081,0.372372902366613,0.415071821379835,0.396536072827344,0.427897455497308,-0.0380466100275444,-0.0426989190132215,-0.0326866359237538,0.373460468812078,0.378820442915868,0.368808159826401,0.40528101779964,0.383539975025193,0.421224308143346,-0.0388425222464361,-0.0434948312321132,-0.0334825481426456,0.396209271582389,0.40156924568618,0.391556962596712,0.435051793828825,0.423553922259929,0.442315113880947,-0.0314221836989598,-0.036074492684637,-0.0260622095951693,0.37702521135229,0.373460468812078,0.356753584676726,0.40156924568618,0.37702521135229,0.373460468812078,0.356753584676726,0.40156924568618,-0.0388425222464361,-0.0438751241372372,-0.0314221836989598,-0.0380466100275444,-0.0388425222464361,-0.0438751241372372,-0.0314221836989598,-0.0380466100275444,3,0.285847040290401,0.320437584408757,0.233479021415764,0.714152959709599,0.679562415591243,0.766520978584236,"STEI_046","STEI_NEON"
1992,0.385040970311244,0.390400944415034,0.380388661325566,0.404922632333902,0.382575082180202,0.420696407766647,-0.0506046154961172,-0.0552569244817943,-0.0452446413923266,0.392953674155325,0.398313648259115,0.388301365169647,0.420389354117381,0.402846691325781,0.432146569923576,-0.0274356799620568,-0.032087988947734,-0.0220757058582663,0.389944264792348,0.395304238896139,0.385291955806671,0.417051983338753,0.397997822517682,0.429906173911807,-0.0237020672670095,-0.0283543762526866,-0.0183420931632189,0.411103302881237,0.416463276985027,0.40645099389556,0.435934532216168,0.424677433267864,0.442973319832751,-0.0149783675415535,-0.0196306765272306,-0.00961839343776294,0.392953674155325,0.389944264792348,0.380388661325566,0.416463276985027,0.392953674155325,0.389944264792348,0.380388661325566,0.416463276985027,-0.0237020672670095,-0.0506046154961172,-0.0149783675415535,-0.0274356799620568,-0.0237020672670095,-0.0506046154961172,-0.0149783675415535,-0.0274356799620568,5,0.1775237062858,0.365376627597769,0.112902813734162,0.8224762937142,0.634623372402231,0.887097186265838,"STEI_046","STEI_NEON"
1993,0.387611861730128,0.392971835833919,0.382959552744451,0.406598877735381,0.383830941516223,0.422399178906938,-0.0446905349648856,-0.0493428439505628,-0.0393305608610951,0.389093089804198,0.394453063907988,0.384440780818521,0.419450637215197,0.40158928666363,0.431472118539216,-0.0303575474109995,-0.0350098563966767,-0.024997573307209,0.389093089804198,0.394453063907988,0.384440780818521,0.419450637215197,0.40158928666363,0.431472118539216,-0.0303575474109995,-0.0350098563966767,-0.024997573307209,0.390574317878268,0.395934291982058,0.38592200889259,0.432302396695014,0.419347631811037,0.440545058171494,-0.0160245598571134,-0.0206768688427906,-0.0106645857533229,0.389093089804198,0.389093089804198,0.382959552744451,0.395934291982058,0.389093089804198,0.389093089804198,0.382959552744451,0.395934291982058,-0.0303575474109995,-0.0446905349648856,-0.0160245598571134,-0.0303575474109995,-0.0303575474109995,-0.0446905349648856,-0.0160245598571134,-0.0303575474109995,2,0.225844857007385,0.325965430111929,0.120714389030562,0.774155142992615,0.674034569888071,0.879285610969438,"STEI_046","STEI_NEON"
