uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF,publicationDate
d59f46e2-cb90-4347-8bb7-dbb270f3f4ae,BART_012.basePlot.vst,2014-08-05,D01,BART,BART_012,distributed,deciduousForest,44.046097,-71.316312,WGS84,20.3,314433.83,4879601.29,19N,556.9,0.4,vst_BART_2014,,,NEON.DOC.000987vD,,,,,,,,10,noneSelected,400,80,400,"",D01JRS08,,legacyData,20200817T124351Z
9c136c4c-6ff0-4fa5-8d93-c8a485517f5e,BART_012.basePlot.vst,2014-08-05,D01,BART,BART_012,distributed,deciduousForest,44.046097,-71.316312,WGS84,20.3,314433.83,4879601.29,19N,556.9,0.4,vst_BART_2014,,,NEON.DOC.000987vD,,,,,,,,10,noneSelected,400,80,400,QC: NO ERRORS,D01LEL27,,legacyData,20200817T124351Z
ed68a89b-560f-40b6-8684-84ad89c263f9,BART_001.basePlot.vst,2014-08-13,D01,BART,BART_001,distributed,mixedForest,44.047079,-71.306661,WGS84,20.3,315210.06,4879688.67,19N,467.7,0.6,vst_BART_2014,,,NEON.DOC.000987vD,,,,,,,,noneSelected,noneSelected,400,400,400,QC: NO ERRORS,D01NIH14,,legacyData,20200817T124351Z
6dfb41fc-ce02-40fb-879f-c2bad8e16bb7,BART_005.basePlot.vst,2014-08-27,D01,BART,BART_005,distributed,mixedForest,44.054614,-71.282188,WGS84,20.3,317193.86,4880470.98,19N,306.9,0.4,vst_BART_2014,,,NEON.DOC.000987vD,,,,,,,,noneSelected,noneSelected,400,400,400,"",D01JRS08,,legacyData,20200817T124351Z
42bcf7e0-14c3-45ab-a1b8-2c6597838463,BART_042.basePlot.vst,2015-06-06,D01,BART,BART_042,tower,deciduousForest,44.060194,-71.288052,WGS84,20.2,316741.36,4881103.79,19N,288.3,0.2,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,100,noneSelected,800,400,800,,auccello@field-ops.org,ssmith@field-ops.org,legacyData,20200817T125518Z
d4f0f59b-bca9-423d-a5f4-0fb397b8e93e,BART_047.basePlot.vst,2015-07-16,D01,BART,BART_047,tower,deciduousForest,44.064968,-71.290855,WGS84,20.1,316531.6,4881640.29,19N,262.9,0.2,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,100,noneSelected,800,400,800,,ehardiman@field-ops.org,gvanscoy@field-ops.org,legacyData,20200817T131129Z
495d75bc-f108-4cdd-9806-4ffece422f26,BART_047.basePlot.vst,2015-07-21,D01,BART,BART_047,tower,deciduousForest,44.064968,-71.290855,WGS84,20.1,316531.6,4881640.29,19N,262.9,0.2,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,100,noneSelected,800,400,800,,ehardiman@field-ops.org,gvanscoy@field-ops.org,legacyData,20200817T131129Z
ca4c9bb5-245f-4322-aebe-8f2b2039dc07,BART_033.basePlot.vst,2015-07-22,D01,BART,BART_033,tower,deciduousForest,44.063198,-71.283663,WGS84,20.2,317102.15,4881427.69,19N,275.7,0.2,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,25,noneSelected,800,100,800,,ehardiman@field-ops.org,gvanscoy@field-ops.org,legacyData,20200817T131129Z
35d28ef9-b886-4202-8cd3-80b95b5a6a76,BART_041.basePlot.vst,2015-07-22,D01,BART,BART_041,tower,deciduousForest,44.065342,-71.28561,WGS84,20.2,316952.82,4881670.16,19N,260.9,0.4,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,100,noneSelected,800,400,800,,ssmith@field-ops.org,gbreault@field-ops.org,legacyData,20200817T131129Z
be1e04c6-90fe-455f-a2fc-d610079789f2,BART_041.basePlot.vst,2015-07-22,D01,BART,BART_041,tower,deciduousForest,44.065342,-71.28561,WGS84,20.2,316952.82,4881670.16,19N,260.9,0.4,vst_BART_2015,,,NEON.DOC.000987vD,,,,,,,,100,noneSelected,800,400,800,,llukas@field-ops.org,gbreault@field-ops.org,legacyData,20200817T131129Z
